	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
1829	Marc Jacobs	MARC 477, 6K3	51	17	140	135
1830	Zeiss	Single Vision ClearView 1.74 DV Platinum (E)				
1831	Zeiss	Single Vision AS 1.67 DV BlueGuard (E)				
1832	Missoni	MMI 0044, 2W8	53	16	140	134
1833	Oga	7655O BG071	55	17	140	135
1834	Oga	2669S MG011	53	17	140	135
1835	Oga	7769O GG081	53	17	140	133
1836	Rodenstock (линзы)	Очковая линза RODENSTOCK, SV Organic 1.6 hard Super AR + Blue				
1837	Nano	NAO630947SC	47	16	127	125
1838	Nano	NAO3050549	49	14	136	123
1839	Grand Voyage	1721 C1	55	17	145	137
1840	Grand Voyage	1710 01Y	55	16	135	140
1841	Boss Hugo Boss	Оправа Hugo Hugo Boss, HG 1155, RZZ	56	18	145	142
1842	Retro	Gerry Weber GW 5178 col.1	54	17	135	140
1843	Retro	ENJOY  E4714 A	53	17	130	130
1844	Retro	REVLON RV 111 D93	63	7	135	135
1845	Fabiano	FA-652022 c2	50	20	140	137
1846	Demetz	ROG DHB0241	53	16	125	143
1847	Demetz	SOFTNESS HA22-00596 (5716)	57	16	135	137
1848	Demetz	TRANSLATIO XL HAD21-00251 (5816)	58	16	120	148
1849	Fabiano	FA-652019 c1	51	20	140	138
1850	Fabiano	FA-0814 с02	56	18	140	140
1851	Fabiano	FA 672012 c1	55	17	145	133
1852	Retro	BELLE 2520-03	54	17	135	137
1853	Retro	MEDICI ME 1433 C02	67	15	125	143
1854	Retro	Sun Street 10032	60	17	127	142
1855	Retro	Antonio Sordi 2155 B670	58	16	130	140
1856	Retro	Antonio Sordi 2160 B656	58	14	130	140
1857	Top Vision	SP 1.67 HMC Blue Cut 420				
1858	Top Vision	ASP 1.67 HMC Blue Cut 420				
1859	Артоптика	Очковая линза АртОптика Perifocal/Anlauf 1.74 Superclean Green				
1860	Артоптика	Очковая линза АртОптика Perifocal/Anlauf Transitions GEN8 1.74 Superclean Green Grey/Brown/Green				
1861	Nano	NAO630145	45	16	127	120
1862	Nano	NAO3160350	50	15	133	126
1863	Armani Exchange	AX3048-8238	54	17	140	140
1864	Armani Exchange	AX1045-6103	53	18	140	136
1865	Vogue	VO 4094 - 323	52	18	135	134
1866	Vogue	VO 5310-W44	49	20	140	134
1867	Nano	NAO600846	46	17	127	122
1868	Nano	NAO830548	48	19	127	130
1869	Top Vision	1.5 DriveWear HMC				
1870	Top Vision	1.5 ASP DriveWear HMC				
1871	Top Vision	1.5 Infinite Grey HMC				
1872	Top Vision	1.5 ASP Infinite Grey HMC				
1873	Gross Optic	Очковая Линза Gross-Optic 1.67 AS HBC (Blue Cut) (E)				
1874	Nano	NAO3000446	46	14	133	115
1875	Demetz	SOFTNESS HA22-00124 (5716)	57	17	135	135
1876	Nano	NAO2020245	45	16	130	122
1877	H.i.s.	Оправа H.I.S. HK550-001	50	16	130	130
1878	H.i.s.	Оправа H.I.S. HK550-002	50	16	130	127
1879	H.i.s.	Оправа H.I.S. HK166-001	46	18	132	125
1880	H.i.s.	Оправа H.I.S. HK166-003	46	18	132	122
1881	Shamir	Очковая линза Shamir Altolite Blue Zero 1.67 AS Glacier				
1882	Neolook (линзы)	Очковая линза NEOLOOK Grado 1.56 SP Orange  25% Photochomic Grey Optimo BLP				
1883	Top Vision	1.56 HMC				
1884	Trussardi	TR 12503 RE	54	16	135	135
1885	Trussardi	TR 12510 BK	54	16	135	134
1886	Laura Biagiotti	VBB 302 C05	55	14	140	137
1887	Laura Biagiotti	VLB 017 C00	54	18	140	132
1888	Versace	3182 5081	53	17	140	135
1889	Okula	Оправа OCULA, OK 1054 F2	52	17	135	130
1890	Jean Reno	1243 c3	45	20	135	132
1891	Amb Vision	AMB-01-T012 c03	53	18	140	138
1892	Elfspirit Kids	EF2085 c043	48	14	125	118
1893	Inface	IF8354-305	52	17	140	130
1894	Gianfrance Ferre	GF 415-02  G02	54	16	140	132
1895	Ziggy	1273 C3	46	20	135	127
1896	Ziggy	1270 C3	48	19	120	130
1897	Ziggy	1179 C6	51	19	125	115
1898	Ziggy	94 C2	50	20	130	125
1899	T-charge	T4002 T03	54	17	145	140
1900	T-charge	T6057 G22	54	17	140	140
1901	T-charge	T6067 G22	55	17	140	135
1902	T-charge	T6103 A01	54	16	145	135
1903	T-charge	T1180A 04C	54	17	140	134
1904	T-charge	T6103 G21	54	16	145	135
1905	T-charge	T6054N G21	56	17	140	138
1906	T-charge	T6087 A01	52	16	145	128
1907	T-charge	T6092 G24	54	16	145	132
1908	T-charge	T6100 T01	55	18	145	140
1909	T-charge	T6099 T04	55	17	145	137
1910	Versace	4246-B 5002/87	56	18	135	143
1911	Levis	LS 1001 1106	48	16	135	123
1912	Athena	Оправа ATHEMA, AT14518 c129	52	15	132	132
1913	Athena	Оправа ATHEMA, AT15101 c1	55	16	140	141
1914	Bvlgari	3010 5066	53	16	135	135
1915	Bvlgari	4053-B 5038	52	17	135	130
1916	Prodesign	6118 c2012	51	17	135	130
1917	Dolce&amp;gabbana	DG 1258 1106	54	17	140	135
1918	Baby Look	BL 5021 c005 (41-18)	41	18	120	127
1919	Ana Hickmann	AH1287 02A	51	17	135	130
1920	Ana Hickmann	AH1453 09A	53	17	142	136
1921	Ana Hickmann	AH1277 02A	51	18	135	132
1922	Ana Hickmann	AH1392 05A	54	17	142	138
1923	Ana Hickmann	Оправа HICKMANN, HI6042 G21	52	16	150	130
1924	Ana Hickmann	Оправа HICKMANN, HI1166 H04	50	20	142	130
1925	Ana Hickmann	Оправа HICKMANN, HI6029A A02	51	18	145	135
1926	Ana Hickmann	Оправа HICKMANN, HI1168T 05B	51	19	142	134
1927	Ana Hickmann	Оправа HICKMANN, HI6021 D01	48	18	140	130
1928	Ana Hickmann	AH6254 G21	55	16	145	132
1929	Ana Hickmann	AH6244A G21	52	16	145	130
1930	Ana Hickmann	AH6234 A01	53	16	140	134
1931	Ana Hickmann	AH6235 H02	51	16	140	130
1932	Ana Hickmann	AH6231 D03	50	18	140	133
1933	Ana Hickmann	AH6213N K02	55	17	145	134
1934	Ana Hickmann	AH6199 H03	52	16	140	130
1935	Ana Hickmann	AH6154 B05	52	17	140	130
1936	Ana Hickmann	AH6156 E35	54	13	140	130
1937	Ana Hickmann	AH6156 C08	54	13	140	131
1938	Ana Hickmann	AH6142 G22	52	16	135	128
1939	Baby Look	BL 5031 c005 (46-18)	46	18	130	135
1940	Baby Look	BL 5064 c010 (46-16)	46	16	120	117
1941	Baby Look	BL 5073 c053 (40-16)	40	16	90	105
1942	Baby Look	BL 5040 c003 (46-16)	46	16	125	120
1943	Baby Look	BL 5058 c039 (45-14)	45	14	120	114
1944	Baby Look	BL 5051 c038 (46-15)	46	15	120	114
1945	Bulget	BG4129 T03	54	16	14	138
1946	Bulget	BG6192 A01	51	17	142	130
1947	Bulget	BG3308 01A	56	17	140	140
1948	Bulget	BG3285M 09AP	59	16	140	143
1949	Bulget	BG6208 G21	54	18	145	134
1950	Bulget	BG3292 08A	58	19	145	148
1951	Bulget	BG6419M T01	54	15	145	135
1952	Bulget	BG4034 T01	53	16	145	131
1953	Bulget	BG4125 A02	56	16	140	140
1954	Bulget	BG1751T 12A	53	17	140	135
1955	Bulget	BG1458 09A	53	16	140	132
1956	Belluti	Оправа BELUTTI KIDS, BLL016 c3	47	16	130	121
1957	Belluti	Оправа BELUTTI, BK056 c01	57	14	135	138
1958	Belluti	Оправа BELUTTI, BK056 c03	57	14	135	138
1959	Belluti	Оправа BELUTTI, 6160 c1	56	17	140	133
1960	Belluti	Оправа BELUTTI, BLP0045 c001	52	20	140	138
1961	Belluti	Оправа BELUTTI, BDP0104 c002	55	17	143	135
1962	Belluti	Оправа BELUTTI, BDP0105 c001	54	16	142	135
1963	Bulget	BG9078 A01	56	17	140	135
1964	Bulget	BG9062 E02	57	16	140	135
1965	Bulget	BG3219 05A	60	16	145	149
1966	Porsche Design	P8546, B	58	18	140	137
1967	Porsche Design	P8542, B	65	11	135	155
1968	Porsche Design	P8576, B	65	15	135	137
1969	Versace	4263 5084/8H	57	15	140	136
1970	Polivizor	2209	67	15	135	150
1971	Lastrada	Солнцезащитные очки La Strada, 9241/15 c1	60	12	140	137
1972	Lastrada	Солнцезащитные очки La Strada, 9240/15 c3	56	17	140	150
1973	Alessandro Valerie	8040 - 13	61	17	105	134
1974	Alessandro Valerie	7010 - 1108	64	18	120	135
1975	Ana Hickmann	AH3102 04H	59	14	135	143
1976	Ana Hickmann	AH3112 04A	60	16	140	140
1977	Ana Hickmann	AH3146 07B	61	16	145	145
1978	Ana Hickmann	AH3077 09D	63	15	130	140
1979	Ana Hickmann	AH3147 01A	61	16	145	145
1980	Ana Hickmann	AH3147 15A	61	16	145	145
1981	Ana Hickmann	Оправа HICKMANN, HIC 1047T 03A	53	17	145	141
1982	Ana Hickmann	AH9107 A01	58	16	130	130
1983	Ana Hickmann	HI9024 H03	58	16	145	143
1984	Ana Hickmann	AH9107 T04	58	16	130	135
1985	Ana Hickmann	HI9032 D02	56	19	145	143
1986	Ana Hickmann	HI9032 T01	56	19	145	143
1987	Ana Hickmann	AH5000 C02	57	16	145	138
1988	Maxxee	Очковая линза MAXXEE ASP 1.67 Hard Clean Coat				
1989	Maxxee	Очковая линза MAXXEE ASP 1.6 Hard Clean Coat				
1990	Maxxee	Очковая линза MAXXEE SP 1.6 Blue Cut Coat				
1991	Maxxee	Очковая линза MAXXEE SP 1.6 Hard Clean Coat				
1992	Polaroid	PLD D396/G, QWU	53	19	145	139
1993	Maxxee	Очковая линза MAXXEE SP 1.5 Blue Cut Coat				
1994	Maxxee	Очковая линза MAXXEE SP 1.6 Hard Multi Coat				
1995	Polaroid	PLD D389/G, RHL	54	20	150	140
1996	Maxxee	Очковая линза MAXXEE SP 1.5 Hard Multi Coat				
1997	Maxxee	Очковая линза MAXXEE SP 1.5 Hard Clean Coat				
1998	Maxxee	Очковая линза MAXXEE SP 1.55 Hard Clean Coat				
1999	Maxxee	Очковая линза MAXXEE PHOTO 1.56 Hard Clean Coat				
2000	Polaroid	PLD D405, 807	55	16	150	142
2001	Polaroid	PLD D438/G, 9F6	52	19	145	135
2002	Maxxee	Очковая линза MAXXEE BIFOCAL 1.5 Hard Multi Coat				
2003	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.67 Hard Clean Coat				
2004	Polaroid	PLD D390/G, 010	55	19	150	140
2005	Polaroid	PLD D448, VKM	55	16	140	140
2006	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.6 Hard Clean Coat				
2007	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.5 Hard Clean Coat				
2008	Vogue Kids	VY2011-2974 (40)	40	14	115	117
2009	Vogue Kids	VY2011-2568 (40)	40	14	115	118
2010	Vogue Kids	VY2005-2831 (43)	43	17	125	120
2011	Vogue Kids	VY2008-2977 (45)	45	18	125	120
2012	Nano	NAO190248	48	16	130	122
2013	Armani Exchange	AX1046-6000	55	18	145	141
2014	Ana Hickmann	AH9216 T03	55	21	150	140
2015	Ana Hickmann	AH9175N A01	58	18	140	143
2016	Di Firenze	5412	57	16	140	136
2017	Regina Schreker	Солнцезащитные очки REGINA SCHRESKER, C23112, 542-P57	58	14	140	140
2018	Beatles	BYS010 BLACK	143	маска	125	135
2019	Shamir	Очковая Линза Shamir 1.5 Glacier Smart SV Transitions XTRActive Polarized				
2020	Shamir	Очковая Линза Shamir 1.6 Glacier Smart SV Transitions XTRActive Polarized				
2021	Shamir	Очковая Линза Shamir 1.67 Glacier Smart SV Transitions XTRActive Polarized				
2022	Shamir	Очковая Линза Shamir 1.5 Glacier SV RX Transitions XTRActive Polarized				
2023	Shamir	Очковая Линза Shamir 1.6 Glacier SV RX Transitions XTRActive Polarized				
2024	Shamir	Очковая Линза Shamir 1.67 Glacier SV RX Transitions XTRActive Polarized				
2025	Shamir	Очковая Линза Shamir 1.5 Glacier Duo Transitions XTRActive Polarized				
2026	Shamir	Очковая Линза Shamir 1.6 Glacier Duo Transitions XTRActive Polarized				
2027	Shamir	Очковая Линза Shamir 1.67 Glacier Duo Transitions XTRActive Polarized				
2028	Polaroid	PLD 2066/S, 003	56	18	135	141
2029	Polaroid	PLD 6110/S, 807	53	18	140	141
2030	Polaroid	PLD 2124/S, 08A	50	21	140	137
2031	Polaroid	PLD 2065/S, 003	54	19	135	141
2032	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.5 PhotoBrown/Grey Hard Clean Coat				
2033	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.6 PhotoBrown/Grey Hard Clean Coat				
2034	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.67 PhotoBrown/PhotoGrey Hard Clean Coat				
2035	T-charge	T3035A 12B	61	15	140	140
2036	Di Torino	Солнцезащитные очки di TORINO 4980	58	18	135	142
2037	T-charge	T9027 A02	60	17	140	145
2038	Glodiatr	G 1648 c6	58	17	145	142
2039	View	VBS 570A				
2040	Nikitana	NK8703 C8	59	17	143	144
2041	Nikitana	NK8639 C3	58	17	145	143
2042	Nikitana	NK8638 c6	58	17	145	143
2043	Polaroid	PLD 2019/S, D28	59	15	135	140
2044	Polaroid	PLD 2115/S, 807	54	21	148	150
2045	Nano	NAO160349	49	17	130	128
2046	Nano	NAO3180748	48	15	132	122
2047	Nano	NAO3150550	50	17	133	130
2048	Nano	NAO830450	50	19	137	135
2049	Nano	NAO830650	50	19	137	134
2050	Nano	NAO3170152	52	15	148	130
2051	Genex	G546 C19	54	18	140	140
2052	Genex	G5553 C25	54	16	140	133
2053	Genex	G5600 C73	47	24	140	125
2054	Genex	G5600 C74	47	24	140	125
2055	Genex	G5600 C100	47	24	140	125
2056	Genex	G524 C03	56	17	140	143
2057	Genex	G526 C2	52	16	140	133
2058	Genex	G526 C107	52	16	140	133
2059	Genex	G529 C63	53	16	140	134
2060	Genex	G531 C107	54	16	140	132
2061	Genex	G531 C2	54	16	140	132
2062	Genex	G5629 C103	55	16	140	140
2063	Genex	G5604 C90	50	18	140	132
2064	Bolle	20789 VOLT WHITE	157	маска	строп	135
2065	Sport	Спортивные очки SPORT MARKET	65	17	125	146
2066	Hoya	MiYOSMART 1.59 SHV (E)				
2067	Baldessarini	B4115 B	57	15	135	135
2068	Hoya	MiYOSMART 1.59 SHV				
2069	Essilor	Stellest 1.59 Crizal Easy Pro (E)				
2070	Essilor	Stellest 1.59 Prevencia (E)				
2071	Nano	NAO3040148	48	14	135	122
2072	Nano	NAO3060146	46	14	132	117
2073	Nano	NAO3180846	46	14	132	117
2074	Nano	NAO3160352	52	16	143	131
2075	Fun Story Kids	FNS-09 c.7	48	14	125	122
2076	Fun Story Kids	FNS-11 c.1	47	20	135	130
2077	Fun Story Kids	FNS-11 c.2	47	20	135	130
2078	Fun Story Kids	FNS-11 c.6	47	20	135	130
2079	Fun Story Kids	FNS-11 c.7	47	20	135	130
2080	Leonardo D.	Оправа Leonardo D. LD 588 20-A	56	20	145	138
2081	Leonardo D.	Оправа Leonardo D. LD 588 30-A schwa	56	20	145	138
2082	Leonardo D.	Оправа Leonardo D. LD 599 40-D	53	16	135	132
2083	Leonardo D.	Оправа Leonardo D. LD 611 10-B	57	16	135	140
2084	Roy Robson	10066 - 2	58	18	145	144
2085	Roy Robson	10073 - 1	55	18	145	137
2086	Roy Robson	Titan 60115 - 1	50	17	145	130
2087	Roy Robson	Titan 60106 - 3	54	16	145	140
2088	Roy Robson	10074 - 2	60	18	150	148
2089	Roy Robson	Titan 40098 - 2	55	19	145	140
2090	Roy Robson	Titan 40097 - 1	50	19	145	135
2091	Roy Robson	40069/SG - 3	60	17	150	150
2092	Roy Robson	10073 - 2	55	18	145	135
2093	Roy Robson	40069/SG - 1	60	17	150	149
2094	Hoya	HILUX EYAS 1.6 HVLL Blue Control				
2095	Barbie Kids	BBV007, BLK	47	19	135	125
2096	Barbie Kids	BBV005, PRP	49	16	135	126
2097	Barbie Kids	BBV012, BLK	48	20	140	132
2098	Barbie Kids	BBV015, BLU	46	18	135	124
2099	Barbie Kids	BBV005, PNK	49	16	135	126
2100	Fisher Price Kids	FPM025 c.14 (43)	43	20	100	119
2101	Fisher Price Kids	FPCR006 GREY (50)	50	16	130	127
2102	Fisher Price Kids	FPCR002 LIL (46)	46	15	130	121
2103	Fisher Price Kids	FPVN009, BLUE (47)	47	15	120	121
2104	Fisher Price Kids	FPVN012 FXA (49)	49	16	135	126
2105	Fisher Price Kids	FPVN005 BLUE (49)	49	15	120	126
2106	Fisher Price Kids	FPVN010 SKY (49)	49	16	120	125
2107	Fisher Price Kids	FPCL004, BKL (50)	50	16	130	130
2108	Fisher Price Kids	FPVN006 BLUE (45)	44	16	120	112
2109	Fisher Price Kids	FPVN016 BLUE (44)	44	15	135	116
2110	Fisher Price Kids	FPVN018 BLUE (47)	47	15	130	120
2111	Fisher Price Kids	FPVN005 FXA (49)	49	15	120	124
2112	Fisher Price Kids	FPVN002 VLT (44)	44	15	120	116
2113	Fisher Price Kids	FPVN014 VLT (44)	44	15	130	115
2114	Fisher Price Kids	FPVN017 FXA (48)	48	15	135	124
2115	Fisher Price Kids	FPVN023 LIL (44)	44	15	130	116
2116	Fisher Price Kids	FPVN015 RED (45)	45	15	130	116
2117	Bulget	BG1700MT 04A	52	19	150	140
2118	Bulget	BG1678MT 06A	56	18	145	138
2119	Bulget	BG1715M C2	56	20	150	140
2120	Bulget	BG1699MT 02A	51	18	145	133
2121	Bulget	BG1672M 06A	54	18	145	138
2122	Bulget	BG1742 07A	54	17	142	138
2123	Bulget	BG1769MT 09A	54	17	142	140
2124	Bulget	BG1717M C4	60	17	148	148
2125	Bulget	BG1754M 02B	56	19	145	144
2126	Bulget	BG1742 09A	54	17	142	137
2127	Bulget	BG1697T 07A	51	18	142	133
2128	Bulget	BG1747 06A	55	17	140	135
2129	Bulget	BG1678MT 09A	56	18	145	137
2130	Bulget	BG1735 09B	51	18	140	135
2131	Bulget	BG1762 06A	50	18	140	134
2132	La Stella	LSO 1008 C1	54	17	140	135
2133	La Stella	LSO 1010 C3	57	18	140	140
2134	La Stella	ME05-08 C01V	52	15	142	131
2135	La Stella	LSO 1008 C2	54	17	140	135
2136	La Stella	ME02-04 C07	52	16	142	131
2137	Sferoflex	SF 2599-268	53	17	135	129
2138	Sferoflex	SF 2599-532	53	17	135	129
2139	Sferoflex	SF 1574 -1020	53	16	130	136
2140	Sferoflex	SF 1137-C565	52	21	145	136
2141	Sferoflex	SF 2570-526	54	17	140	136
2142	Sferoflex	SF 2579-509	53	17	135	133
2143	Sferoflex	SF 2201-231	52	21	145	137
2144	Sferoflex	SF 2571- 488	54	16	140	137
2145	Sferoflex	SF 2275-268	51	20	140	132
2146	Sferoflex	SF 2289-525	53	17	145	138
2147	Sferoflex	SF 2249-460	57	16	145	142
2148	Sferoflex	SF 2294-277	57	18	145	143
2149	Sferoflex	SF 2294-132	57	18	145	143
2150	Sferoflex	SF 2294-526	57	18	145	143
2151	Roy Robson	Titan 40097- 3	50	19	145	134
2152	Hoya	Balansis 1.5 HVLL R				
2153	Hoya	Balansis 1.5 HVLL UV Control/Blue Control + Sensity/Sensity Dark R				
2154	Hoya	Balansis  1.5 HVLL UV Control/Blue Control R				
2155	Hoya	Balansis  1.5 SHV + Sensity/Sensity Dark R				
2156	Hoya	Balansis 1.5 SHV R				
2157	Hoya	Balansis EYAS 2.0 1.60 HVLL R				
2158	Hoya	Balansis EYAS 2.0 1.60 HVLL UV Control/Blue Control + Sensity/Sensity Dark R				
2159	Hoya	Balansis EYAS 2.0 1.60 HVLL UV Control/Blue Control R				
2160	Hoya	Balansis EYAS 2.0 1.60 SHV + Sensity/Sensity Dark R				
2161	Hoya	Balansis EYAS 2.0 1.60 SHV R				
2162	Roy Robson	60113/SG - 3	56	16	145	144
2163	Roy Robson	10074- 1	60	18	150	148
2164	Swing	Tr 376 col. 378	51	18	140	138
2165	Fisher Price Kids	FPVN015 BLK (45)	45	15	130	117
2166	Fisher Price Kids	FPVN004 PRP (47)	47	16	120	125
2167	Ventoe	VCL 4316 C12	53	18	145	140
2168	Ventoe	VCL 4203 C12	56	17	142	143
2169	Ventoe	VCL 4311 C01	55	19	145	144
2170	Hoya	Balansis EYNOA 1.67 HVLL R				
2171	Hoya	Balansis EYNOA 1.67 HVLL UV Control/Blue Control + Sensity/Sensity Dark R				
2172	Hoya	Balansis EYNOA 1.67 HVLL UV Control/Blue Control R				
2173	Hoya	Balansis EYNOA 1.67 SHV + Sensity/Sensity Dark R				
2174	Hoya	Balansis EYNOA 1.67 SHV R				
2175	Ventoe	VCL 4317 C11	55	16	143	140
2176	Ventoe	VCL 4308 C12	54	17	140	141
2177	Ventoe	VCL 4208 C13	53	20	140	134
2178	Ventoe	VCL 4313 C12	54	15	142	138
2179	Hoya	Balansis EYVIA 1.74 HVLL R				
2180	Hoya	Balansis EYVIA 1.74 HVLL UV Control/Blue Control R				
2181	Hoya	Balansis EYVIA 1.74 SHV R				
2182	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.5 Blue Cut Coat				
2183	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.5 PhotoBrown/Grey Blue Cut Coat				
2184	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.6 Blue Cut Coat				
2185	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.6 PhotoBrown/Grey Blue Cut Coat				
2186	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.67 Blue Cut Coat				
2187	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.67 PhotoBrown/PhotoGrey Blue Cut Coat				
2188	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.5 Blue Cut Coat				
2189	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.5 Hard Clean Coat				
2190	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.5 PhotoBrown/Grey Blue Cut Coat				
2191	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.5 PhotoBrown/Grey Hard Clean Coat				
2192	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.6 Blue Cut Coat				
2193	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.6 Hard Clean Coat				
2194	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.6 PhotoBrown/Grey Blue Cut Coat				
2195	Maxxee	Очковая линза MAXXEE Multifocal freeform 1.6 PhotoBrown/Grey Hard Clean Coat				
2196	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.67 Blue Cut Coat				
2197	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.67 Hard Clean Coat				
2198	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.67 PhotoBrown/PhotoGrey Blue Cut Coat				
2199	Maxxee	Очковая линза MAXXEE Multifocal freeform plus 1.67 PhotoBrown/PhotoGrey Hard Clean Coat				
2200	Ventoe Junior	VJ 973 C13	46	20	130	130
2201	Ventoe Junior	VK 122 C13	46	15	120	120
2202	Ventoe Junior	VJ 978 C11	48	16	125	125
2203	Ventoe Junior	VJ 972 C11	48	17	128	128
2204	Ventoe Junior	VJ 958 C13	49	18	135	130
2205	Ventoe Junior	VJ 677 21M99	47	13	130	122
2206	Ventoe Junior	VJ 975 C13	49	17	128	128
2207	Ventoe Junior	VJ 972 C13	48	17	128	128
2208	Ventoe Junior	VJ 951 C14	47	16	130	130
2209	Nano	NAO3180946	46	14	132	117
2210	Nano	NAO3200150	50	17	139l	134
2211	Nano	NAO3200252	52	18	139	140
2212	Nano	NAO3210246	46	17	132	130
2213	Nano	NAO3210248	48	17	132	138
2214	Nano	NAO3180848	48	15	132	123
2215	Nano	NAO3210146	46	17	132	130
2216	Nano	NAO3220250	50	18	140	130
2217	Nano	NAO3210150	50	17	140	138
2218	Nano	NAO3200250	50	17	139	136
2219	Nano	NAO3031150	50	15	133	126
2220	Nano	NAO3180948	48	15	132	123
2221	Nano	NAO3170352	52	15	148	130
2222	Nano	NAO3170554	54	16	148	134
2223	Nano	NAO3180746	46	14	132	117
2224	Nano	NAO3180644	44	14	120	113
2225	Nano	NAO3180646	46	14	132	117
2226	Nano	NAO800246	46	17	127	127
2227	Shamir	Очковая линза Shamir Altolite 1.61 AS НМС				
2228	Rodenstock (линзы)	Очковая линза RODENSTOCK, Intermediate Vision Lens A/B 1.5 - E Hard Super-AR+/Blue				
2229	Rodenstock (линзы)	Очковая линза RODENSTOCK, Intermediate Vision Lens A/B 1.6 - E Hard Super-AR Double+/Blue				
2230	Demetz	LAZER-RUN DHB0068 51	51	18	132	146
2231	Demetz	LAZER-RUN DHB0068 54	72	14	132	146
2232	Demetz	LAZER-RUN DHB0068 94	72	14	132	146
2233	Demetz	PULSA2 DHA0242 Mat/Blue	74	14	130	145
2234	Rodenstock (линзы)	Очковая линза Rodenshtock PAL 2 Organic 1.5 medium/short Hard Super AR+/Blue				
2235	Rodenstock (линзы)	Очковая линза Rodenshtock PAL 2 Organic 1.6 L/medium/short Hard Super AR Double+/Blue				
2236	Rodenstock (линзы)	Очковая линза Rodenshtock PAL 2 Organic 1.54 medium/short Hard Super AR+ Photobrown/Photogrey				
2237	Rodenstock (линзы)	Очковая линза Rodenshtock PAL 2 Organic 1.6 medium/short Hard Super AR Double+ Photo brown/grey				
2238	Ventoe Junior	VK 126 C12	46	15	125	120
2239	Ventoe Junior	VJ 970 c12	47	17	130	132
2240	Ventoe Junior	VJ 970 C13	47	17	130	130
2241	Ventoe Junior	VJ 958 C12	49	18	135	130
2242	Ventoe Junior	VJ 961 C11	47	17	132	128
2243	Ventoe Junior	VK 119 C11	46	16	125	124
2244	Ventoe Junior	VJ 968 C12	48	19	135	132
2245	Tropical	THE RAIL	54	20	139	143
2246	Tropical	CURRENTS	60	17	145	140
2247	Tropical	SHORE THING	56	18	142	138
2248	Tropical	OVATION	60	13	135	144
2249	Tropical	HEDWIG	53	19	138	142
2250	Tropical	BUNGALOW	53	18	145	145
2251	Tropical	SANDBAR	51	18	143	136
2252	Tropical	A FRAME	53	18	145	143
2253	Tropical	CARLEY	54	15	142	132
2254	Tropical	TOMMIE	50	20	140	127
2255	Tropical	KENZIE	50	22	140	132
2256	Tropical	EVY ROSE	48	22	130	125
2257	Tropical	MAYHEM	140	маска	143	145
2258	Tropical	DEX	54	20	145	134
2259	Tropical	GNARLY	57	15	140	140
2260	Tropical	HOT TAMALE	52	20	140	139
2261	Tropical	LYNX	52	19	130	135
2262	Tropical	MALLARD	56	17	145	134
2263	Tropical	KAI	60	13	140	140
2264	Balenciaga	BA 0054 20B	49	22	140	150
2265	Balenciaga	BA 0055 20A	52	19	140	155
2266	Fisher Price Kids	FPVN017 BLUE (48)	48	15	135	123
2267	Barbie Kids	BBV035, CHR	49	19	135	126
2268	Bulget	BG3332 03B	57	18	145	140
2269	Bulget	BG9134IM A01P	58	15	145	143
2270	Bulget	BG1741T 09A	53	17	140	135
2271	Bulget	BG1751T 05A	53	17	140	136
2272	Bulget	BG6437 A01	55	15	140	133
2273	Bulget	BG1646T 09A	57	17	135	135
2274	Bulget	BG1646T 05A	53	16	142	137
2275	Bulget	BG1737T 01A	53	17	142	135
2276	Bulget	BG1750T 01A	53	17	140	136
2277	Bulget	BG1737T 07A	53	17	142	134
2278	Bulget	BG1743 09A	53	17	142	137
2279	Bulget	BG1743 05A	53	17	142	138
2280	Clic	Executive, CXM-22 (+3,0)	55	19		150
2281	Fisher Price Kids	FPCL004, GREY (50)	50	16	130	130
2282	Fisher Price Kids	FPVN003, BLUE (46)	46	14	120	118
2283	Fisher Price Kids	FPVN013, FXA (45)	45	17	130	118
2284	Pensne	Оправа Monocle Steam Punks Gold	52	18	142	85
2285	Pensne	Оправа Monocle Steam Punks Silver	52	18	142	85
